Year	Name	IDrs	At-Bats	AVG	OBP	SLG	O-Swing%	Z-Swing%	Swing%	Zone%	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2002	Barry Bonds	bondb001	612	0.37	0.582	0.799	0.113	0.7020000000000001	0.366	0.43	0.5363643790849673	0.5849673202614379	0.4869281045751634	0.014503395341782688	-0.045635620915032704
2002	Alex Rodriguez	rodra001	725	0.3	0.392	0.623	0.173	0.6709999999999999	0.431	0.517	0.3112468965517241	0.35586206896551725	0.26620689655172414	0.013257653122538923	-0.08075310344827591
2002	Jim Thome	thomj002	613	0.304	0.445	0.677	0.146	0.701	0.413	0.481	0.3844143556280587	0.42251223491027734	0.3360522022838499	0.014753358281557941	-0.060585644371941305
2002	Vladimir Guerrero	guerv001	709	0.336	0.417	0.593	0.336	0.861	0.5720000000000001	0.449	0.46463328631875883	0.5148095909732017	0.4132581100141044	0.016087177005470486	0.04763328631875885
2002	Brian Giles	gileb002	644	0.298	0.45	0.622	0.099	0.637	0.358	0.482	0.39409161490683225	0.43788819875776397	0.35248447204968947	0.014321117607928834	-0.055908385093167756
2002	Jim Edmonds	edmoj001	576	0.311	0.42	0.561	0.1639999999999999	0.7090000000000001	0.4479999999999999	0.521	0.300359375	0.3420138888888889	0.2586805555555556	0.013940380507803099	-0.119640625
2002	Jeff Kent	kentj001	682	0.313	0.368	0.565	0.152	0.741	0.475	0.5489999999999999	0.24817888563049856	0.2903225806451613	0.20821114369501467	0.01378094526602202	-0.11982111436950144
2002	Jason Giambi	giamj001	689	0.314	0.435	0.598	0.145	0.638	0.379	0.475	0.3791611030478955	0.4412191582002903	0.32946298984034833	0.014524348957556056	-0.05583889695210448
2002	Scott Rolen	roles001	667	0.266	0.357	0.503	0.142	0.7190000000000001	0.45	0.5329999999999999	0.27211844077961017	0.31784107946026985	0.2353823088455772	0.013226058029140444	-0.08488155922038981
2002	Andruw Jones	jonea002	659	0.264	0.366	0.513	0.185	0.753	0.478	0.515	0.3163854324734446	0.3566009104704097	0.26707132018209406	0.01424369001405351	-0.04961456752655541
2002	Lance Berkman	berkl001	692	0.292	0.405	0.578	0.157	0.718	0.435	0.495	0.35826011560693644	0.40028901734104044	0.3092485549132948	0.01377113478104844	-0.04673988439306359
2002	Chipper Jones	jonec004	662	0.327	0.435	0.536	0.109	0.7240000000000001	0.42	0.506	0.3474501510574018	0.3867069486404834	0.30513595166163143	0.013621086834278616	-0.08754984894259821
2002	Eric Chavez	chave001	653	0.275	0.348	0.513	0.211	0.7190000000000001	0.479	0.526	0.2898820826952527	0.333843797856049	0.23889739663093415	0.014241271256751321	-0.0581179173047473
2002	Alfonso Soriano	soria001	741	0.3	0.332	0.547	0.3289999999999999	0.775	0.574	0.55	0.2568798920377868	0.3049932523616734	0.21862348178137653	0.013932687501780117	-0.07512010796221325
2002	Todd Helton	heltt001	668	0.329	0.429	0.577	0.1669999999999999	0.7040000000000001	0.444	0.515	0.32252245508982036	0.36826347305389223	0.28293413173652693	0.014061277891183251	-0.10647754491017963
2002	Mike Cameron	camem001	640	0.239	0.34	0.442	0.153	0.64	0.405	0.517	0.2958484375	0.3421875	0.2484375	0.01447478699060083	-0.04415156250000002
2002	Larry Walker	walkl001	553	0.338	0.421	0.602	0.166	0.747	0.471	0.524	0.3111790235081374	0.3616636528028933	0.26582278481012656	0.01622009386812132	-0.10982097649186257
2002	Albert Pujols	pujoa001	675	0.314	0.394	0.561	0.15	0.6659999999999999	0.422	0.528	0.2860874074074074	0.3362962962962963	0.2474074074074074	0.013308934286676503	-0.10791259259259262
2002	Carlos Beltran	beltc001	722	0.273	0.346	0.501	0.174	0.706	0.452	0.523	0.29178116343490307	0.3337950138504155	0.2520775623268698	0.0134952653018577	-0.054218836565096906
2002	Manny Ramirez	ramim002	518	0.349	0.45	0.647	0.132	0.7020000000000001	0.43	0.523	0.31043243243243246	0.3590733590733591	0.25868725868725867	0.015424144965669496	-0.13956756756756755
2002	Edgardo Alfonzo	alfoe001	562	0.308	0.391	0.459	0.1669999999999999	0.725	0.476	0.5539999999999999	0.2534466192170819	0.302491103202847	0.20640569395017794	0.01421571874451632	-0.13755338078291812
2002	Bobby Abreu	abreb001	685	0.308	0.413	0.521	0.133	0.583	0.362	0.509	0.302451094890511	0.35036496350364965	0.26277372262773724	0.013289790690336792	-0.110548905109489
